geoid10,county,namelsad10,city,ngo_section,population,commute,pet,garden_pct,home_value_2012,x,y
48113008801,Dallas County,Census Tract 88.01,Dallas,Best Southwest/Oak Cliff/Grand Prairie,2593,,40.939998626709,28.67,"$80,862",-96.7927089082927,32.7188747016225
48113013007,Dallas County,Census Tract 130.07,Dallas,Richardson/Far North Dallas/Lake Highlands,3579,26.9,57.1699981689453,33.74,"$171,231",-96.6939128757938,32.8696652103373
48113002400,Dallas County,Census Tract 24,Dallas,White Rock/East Dallas,3713,26.8,39.5099983215332,25.04,"$87,800",-96.757336119801,32.7939108536563
48113008500,Dallas County,Census Tract 85,Dallas,White Rock/East Dallas,5208,30.8,46.9599990844727,27.5,"$80,463",-96.6914519934747,32.770620692316
48113002702,Dallas County,Census Tract 27.02,Dallas,White Rock/East Dallas,1632,,34.25,13.19,"$64,504",-96.7507889486313,32.7701729297722
48113010102,Dallas County,Census Tract 101.02,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,3176,,40.9599990844727,24.12,"$66,376",-96.8346996568097,32.7831075161953
48121021637,Denton County,Census Tract 216.37,Dallas,Plano/Murphy/Wylie,4162,24.2,42.6100006103516,25.11,"$180,214",-96.860682814547,32.994251558253
48085032011,Collin County,Census Tract 320.11,Richardson,Richardson/Far North Dallas/Lake Highlands,6211,26.6,50.4900016784668,34.81,"$322,233",-96.6457632169194,32.9988897364605
48113012603,Dallas County,Census Tract 126.03,Dallas,White Rock/East Dallas,1976,25.9,55.5200004577637,33.09,"$105,705",-96.6576767237545,32.8408731997812
48439101500,Tarrant County,Census Tract 1015,Fort Worth,,4315,21.3,47.7799987792969,26.2,"$79,158",-97.2764178807788,32.7461254081127
48085031405,Collin County,Census Tract 314.05,Allen,Allen/Frisco/McKinney,19405,32,58.5499992370605,41.63,"$333,094",-96.6941122348596,33.1255773324833
48113001001,Dallas County,Census Tract 10.01,Dallas,White Rock/East Dallas,1626,,44.8300018310547,30.65,"$285,714",-96.776546088584,32.8211821170176
48085031411,Collin County,Census Tract 314.11,Parker,Allen/Frisco/McKinney,5134,28.1,58.5499992370605,41.64,"$225,314",-96.6366131482317,33.0689302641691
48121020900,Denton County,Census Tract 209,Denton,,4733,23.4,43.4599990844727,19.68,"$157,258",-97.1567798218788,33.2054852962512
48085030529,Collin County,Census Tract 305.29,McKinney,Allen/Frisco/McKinney,3291,33.4,58.5200004577637,41.61,"$226,178",-96.7254526331033,33.1813284524738
48113009000,Dallas County,Census Tract 90,Dallas,White Rock/East Dallas,8123,30.6,38.7200012207031,22.73,"$84,270",-96.6751451098457,32.7612715889869
48113007700,Dallas County,Census Tract 77,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,5186,,37.9099998474121,34.14,"$349,497",-96.795410774281,32.8726562259836
